Weight;AD(Andorra);AE(United Arab Emirates);AF(Afghanistan);AG(Antigua and Barbuda);AI(Anguilla);AL(Albania);AM(Armenia);AO(Angola);AR(Argentina);AS(American Samoa);AT(Austria);AU(Australia);AW(Aruba);AZ(Azerbaijan);BA(Bosnia and Herzegovina);BB(Barbados);BD(Bangladesh);BE(Belgium);BF(Burkina Faso);BG(Bulgaria);BH(Bahrain);BI(Burundi);BJ(Benin);BL(Saint Barthelemy);BM(Bermuda);BN(Brunei);BO(Bolivia);BR(Brazil);BS(Bahamas);BT(Bhutan);BW(Botswana);BY(Belarus);BZ(Belize);CA(Canada);CD(Congo, Dem. Republic);CF(Central African Republic);CG(Congo, Republic);CH(Switzerland);CI(Ivory Coast);CK(Cook Islands);CL(Chile);CM(Cameroon);CN(China);CO(Colombia);CR(Costa Rica);CU(Cuba);CV(Cape Verde);CY(Cyprus);CZ(Czech Republic);DE(Germany);DJ(Djibouti);DK(Denmark);DM(Dominica);DO(Dominican Republic);DZ(Algeria);EC(Ecuador);EE(Estonia);EG(Egypt);ER(Eritrea);ES(Spain);ET(Ethiopia);FI(Finland);FJ(Fiji);FM(Micronesia);FO(Faroe Islands);FR(France);GA(Gabon);GB(United Kingdom);GD(Grenada);GE(Georgia);GF(French Guiana);GG(Guernsey);GH(Ghana);GI(Gibraltar);GL(Greenland);GM(Gambia);GN(Guinea);GP(Guadeloupe);GQ(Equatorial Guinea);GR(Greece);GT(Guatemala);GU(Guam);GW(Guinea-Bissau);GY(Guyana);HK(HongKong);HN(Honduras);HR(Croatia);HT(Haiti);HU(Hungary);ID(Indonesia);IE(Ireland);IL(Israel);IN(India);IQ(Iraq);IR(Iran);IS(Iceland);IT(Italy);JE(Jersey);JM(Jamaica);JO(Jordan);JP(Japan);KE(Kenya);KG(Kyrgyzstan);KH(Cambodia);KI(Kiribati);KM(Comoros);KR(South Korea);KW(Kuwait);KY(Cayman Islands);KZ(Kazakhstan);LA(Laos);LB(Lebanon);LC(Saint Lucia);LI(Liechtenstein);LK(Sri Lanka);LR(Liberia);LS(Lesotho);LT(Lithuania);LU(Luxemburg);LV(Latvia);LY(Libya);MA(Morocco);MC(Monaco);MD(Moldova);ME(Montenegro);MF(Saint Martin);MG(Madagascar);MH(Marshall Islands);MK(Macedonia);ML(Mali);MM(Burma (Myanmar));MN(Mongolia);MO(Macau);MP(Northern Mariana Islands);MQ(Martinique);MR(Mauritania);MS(Montserrat);MT(Malta);MU(Mauritius);MV(Maldives);MW(Malawi);MX(Mexico);MY(Malaysia);MZ(Mozambique);NA(Namibia);NC(New Caledonia);NE(Niger);NG(Nigeria);NI(Nicaragua);NL(Netherlands);NO(Norway);NP(Nepal);NR(Nauru);NU(Niue);NZ(New Zealand);OM(Oman);PA(Panama);PE(Peru);PF(French Polynesia);PG(Papua New Guinea);PH(Philippines);PK(Pakistan);PL(Poland);PR(Puerto Rico);PS(Palestinian Territories);PT(Portugal);PW(Palau);PY(Paraguay);QA(Qatar);RE(Reunion Island);RO(Romania);RS(Serbia);RU(Russian Federation);RW(Rwanda);SA(Saudi Arabia);SB(Solomon Islands);SC(Seychelles);SD(Sudan);SE(Sweden);SG(Singapore);SI(Slovenia);SK(Slovakia);SL(Sierra Leone);SM(San Marino);SN(Senegal);SO(Somalia);SR(Suriname);ST(São Tomé and Príncipe);SV(El Salvador);SY(Syria);SZ(Swaziland);TC(Turks and Caicos Islands);TD(Chad);TG(Togo);TH(Thailand);TJ(Tajikistan);TL(East Timor);TM(Turkmenistan);TN(Tunisia);TO(Tonga);TR(Turkey);TT(Trinidad and Tobago);TV(Tuvalu);TW(Taiwan);TZ(Tanzania);UA(Ukraine);UG(Uganda);US(United States);UY(Uruguay);UZ(Uzbekistan);VC(Saint Vincent and the Grenadines);VE(Venezuela);VG(Virgin Islands (British));VI(Virgin Islands (U.S.));VN(Vietnam);VU(Vanuatu);WF(Wallis and Futuna);WS(Samoa);YE(Yemen);YT(Mayotte);ZA(South Africa);ZM(Zambia);ZW(Zimbabwe)
1;3.8;22.16;36.41;26.6;26.6;14.08;14.08;36.41;26.6;26.6;7.55;26.6;26.6;14.08;14.08;26.6;26.6;6.74;36.41;11.9;26.6;36.41;36.41;26.6;26.6;26.6;26.6;26.6;26.6;26.6;36.41;14.08;26.6;23.05;36.41;36.41;36.41;7.7;36.41;56.7;26.6;36.41;26.6;26.6;26.6;36.41;36.41;13.43;7.8;6.3;36.41;7.8;26.6;26.6;22.16;26.6;8.7;22.16;36.41;3.3;36.41;10.97;26.6;26.6;14.08;6.3;36.41;9.17;26.6;14.08;56.7;22.16;36.41;9.93;22.16;36.41;36.41;26.6;36.41;12.29;26.6;26.6;36.41;26.6;26.6;26.6;9.9;26.6;8.5;26.6;9.85;22.16;26.6;36.41;36.41;13.43;8.75;8.4;26.6;22.16;26.6;36.41;36.41;26.6;26.6;56.7;26.6;22.16;26.6;36.41;26.6;22.16;26.6;7.7;26.6;36.41;36.41;8.9;7.8;8.7;22.16;14.08;6.3;14.08;14.08;26.6;36.41;26.6;14.08;36.41;56.7;26.6;26.6;26.6;26.6;36.41;26.6;13.43;36.41;26.6;56.7;26.6;26.6;36.41;36.41;26.6;36.41;36.41;26.6;6.7;13.43;26.6;26.6;26.6;26.6;22.16;26.6;26.6;56.7;26.6;26.6;36.41;7.5;26.6;46.26;4.23;26.6;26.6;26.6;36.41;10.9;8.1;38.7;36.41;22.16;26.6;36.41;36.41;10.59;26.6;8.3;8.7;36.41;14.08;36.41;36.41;56.7;36.41;26.6;22.16;36.41;56.7;36.41;36.41;26.6;36.41;26.6;56.7;22.16;26.6;14.08;26.6;26.6;26.6;36.41;14.08;36.41;23.05;26.6;36.41;26.6;26.6;56.7;26.6;26.6;26.6;56.7;26.6;22.16;36.41;36.41;36.41;36.41
2;10.99;25.06;40.36;30.22;30.22;14.08;14.08;40.36;30.22;30.22;9.2;30.22;30.22;14.08;14.08;30.22;30.22;8.5;40.36;12.29;30.22;40.36;40.36;30.22;30.22;30.22;30.22;30.22;30.22;30.22;40.36;14.08;30.22;26.83;40.36;40.36;40.36;8.6;40.36;67.92;30.22;40.36;30.22;30.22;30.22;40.36;40.36;13.43;8.5;7.68;40.36;9.2;30.22;30.22;25.06;30.22;9.9;25.06;40.36;4.02;40.36;10.97;30.22;30.22;14.08;7.98;40.36;9.66;30.22;14.08;67.92;25.06;40.36;9.93;25.06;40.36;40.36;30.22;40.36;12.29;30.22;30.22;40.36;30.22;30.22;30.22;12.29;30.22;9.2;30.22;10.97;25.06;30.22;40.36;40.36;13.43;8.8;13.4;30.22;25.06;30.22;40.36;40.36;30.22;30.22;67.92;30.22;25.06;30.22;40.36;30.22;25.06;30.22;8.6;30.22;40.36;40.36;12.29;8.5;9.9;25.06;14.08;8.85;14.08;14.08;30.22;40.36;30.22;14.08;40.36;67.92;30.22;30.22;30.22;30.22;40.36;30.22;13.43;40.36;30.22;67.92;30.22;30.22;40.36;40.36;30.22;40.36;40.36;30.22;8.5;13.43;30.22;30.22;30.22;30.22;25.06;30.22;30.22;67.92;30.22;30.22;40.36;8.5;30.22;56.9;4.6;30.22;30.22;30.22;40.36;12.29;14.08;41;40.36;25.06;30.22;40.36;40.36;14.68;30.22;8.9;9.9;40.36;14.08;40.36;40.36;67.92;40.36;30.22;25.06;40.36;67.92;40.36;40.36;30.22;40.36;30.22;67.92;25.06;30.22;14.08;30.22;30.22;30.22;40.36;14.08;40.36;26.83;30.22;40.36;30.22;30.22;67.92;30.22;30.22;30.22;67.92;30.22;25.06;40.36;40.36;40.36;40.36
3;10.99;30.85;48.26;37.46;37.46;14.08;14.08;48.26;37.46;37.46;10.45;37.46;37.46;14.08;14.08;37.46;37.46;8.94;48.26;12.29;37.46;48.26;48.26;37.46;37.46;37.46;37.46;37.46;37.46;37.46;48.26;14.08;37.46;34.4;48.26;48.26;48.26;10.9;48.26;75.38;37.46;48.26;37.46;37.46;37.46;48.26;48.26;13.43;10.5;8.75;48.26;10.35;37.46;37.46;30.85;37.46;12.29;30.85;48.26;4.03;48.26;10.97;37.46;37.46;14.08;9;48.26;9.66;37.46;14.08;77.43;30.85;48.26;9.93;30.85;48.26;48.26;37.46;48.26;12.29;37.46;37.46;48.26;37.46;37.46;37.46;12.29;37.46;11.9;37.46;10.97;30.85;37.46;48.26;48.26;13.43;8.8;13.6;37.46;30.85;37.46;48.26;48.26;37.46;37.46;77.43;37.46;30.85;37.46;48.26;37.46;30.85;37.46;10.9;37.46;48.26;48.26;12.29;8.99;12.29;30.85;14.08;8.99;14.08;14.08;37.46;48.26;37.46;14.08;48.26;75.38;37.46;37.46;37.46;37.46;48.26;37.46;13.43;48.26;37.46;77.43;37.46;37.46;48.26;48.26;37.46;48.26;48.26;37.46;9.05;13.43;37.46;37.46;37.46;37.46;30.85;37.46;37.46;77.43;37.46;37.46;48.26;10.3;37.46;66.41;4.66;37.46;37.46;37.46;48.26;12.29;14.08;59.4;48.26;30.85;37.46;48.26;48.26;15.16;37.46;11.99;12.29;48.26;14.08;48.26;48.26;75.38;48.26;37.46;30.85;48.26;75.38;48.26;48.26;37.46;48.26;37.46;77.43;30.85;37.46;14.08;37.46;37.46;37.46;48.26;14.08;48.26;34.4;37.46;48.26;37.46;37.46;75.38;37.46;37.46;37.46;77.43;37.46;30.85;48.26;48.26;48.26;48.26
4;10.99;36.65;56.15;44.71;44.71;14.08;14.08;56.15;44.71;44.71;10.45;44.71;44.71;14.08;14.08;44.71;44.71;8.99;56.15;12.29;44.71;56.15;56.15;44.71;44.71;44.71;44.71;44.71;44.71;44.71;56.15;14.08;44.71;41.97;56.15;56.15;56.15;10.9;56.15;75.38;44.71;56.15;44.71;44.71;44.71;56.15;56.15;13.43;10.5;8.75;56.15;10.35;44.71;44.71;36.65;44.71;12.29;36.65;56.15;4.05;56.15;10.97;44.71;44.71;14.08;9;56.15;10.27;44.71;14.08;84.35;36.65;56.15;9.93;36.65;56.15;56.15;44.71;56.15;12.29;44.71;44.71;56.15;44.71;44.71;44.71;12.29;44.71;11.9;44.71;10.97;36.65;44.71;56.15;56.15;13.43;9.3;13.6;44.71;36.65;44.71;56.15;56.15;44.71;44.71;86.61;44.71;36.65;44.71;56.15;44.71;36.65;44.71;10.9;44.71;56.15;56.15;12.29;8.99;12.29;36.65;14.08;8.99;14.08;14.08;44.71;56.15;44.71;14.08;56.15;75.38;44.71;44.71;44.71;44.71;56.15;44.71;13.43;56.15;44.71;84.35;44.71;44.71;56.15;56.15;44.71;56.15;56.15;44.71;9.17;13.43;44.71;44.71;44.71;44.71;36.65;44.71;44.71;84.35;44.71;44.71;56.15;10.3;44.71;75.34;4.66;44.71;44.71;44.71;56.15;12.29;14.08;65.6;56.15;36.65;44.71;56.15;56.15;17.05;44.71;11.99;12.29;56.15;14.08;56.15;56.15;75.38;56.15;44.71;36.65;56.15;75.38;56.15;56.15;44.71;56.15;44.71;86.61;36.65;44.71;14.08;44.71;44.71;44.71;56.15;14.08;56.15;41.97;44.71;56.15;44.71;44.71;75.38;44.71;44.71;44.71;84.35;44.71;36.65;56.15;56.15;56.15;56.15
5;12.12;44.84;66.03;54.86;54.86;17.14;17.14;66.03;54.86;54.86;10.8;54.86;54.86;17.14;17.14;54.86;54.86;10.31;66.03;17.14;54.86;66.03;66.03;54.86;54.86;54.86;54.86;54.86;54.86;54.86;66.03;17.14;54.86;51.52;66.03;66.03;66.03;11.3;66.03;85.77;54.86;66.03;54.86;54.86;54.86;66.03;66.03;16.35;10.9;9.05;66.03;10.9;54.86;54.86;44.84;54.86;13.8;44.84;66.03;4.54;66.03;16.35;54.86;54.86;17.14;9.3;66.03;10.5;54.86;17.14;95.82;44.84;66.03;10.75;44.84;66.03;66.03;54.86;66.03;17.66;54.86;54.86;66.03;54.86;54.86;54.86;15.1;54.86;12.5;54.86;13.6;44.84;54.86;66.03;66.03;16.35;11.12;13.8;54.86;44.84;54.86;66.03;66.03;54.86;54.86;95.82;54.86;44.84;54.86;66.03;54.86;44.84;54.86;11.3;54.86;66.03;66.03;13;10.3;13.8;44.84;17.14;9.3;17.14;17.14;54.86;66.03;54.86;17.14;66.03;85.77;54.86;54.86;54.86;54.86;66.03;54.86;16.35;66.03;54.86;95.82;54.86;54.86;66.03;66.03;54.86;66.03;66.03;54.86;10.31;16.35;54.86;54.86;54.86;54.86;44.84;54.86;54.86;95.82;54.86;54.86;66.03;10.3;54.86;82.75;5.22;54.86;54.86;54.86;66.03;16.5;16.4;71.8;66.03;44.84;54.86;66.03;66.03;17.38;54.86;12.9;13.8;66.03;17.14;66.03;66.03;85.77;66.03;54.86;44.84;66.03;85.77;66.03;66.03;54.86;66.03;54.86;95.82;44.84;54.86;17.14;54.86;54.86;54.86;66.03;17.14;66.03;50.7;54.86;66.03;54.86;54.86;85.77;54.86;54.86;54.86;95.82;54.86;44.84;66.03;66.03;66.03;66.03
6;12.12;55.43;77.88;67.93;67.93;17.14;17.14;77.88;67.93;67.93;10.8;67.93;67.93;17.14;17.14;67.93;67.93;10.31;77.88;17.14;67.93;77.88;77.88;67.93;67.93;67.93;67.93;67.93;67.93;67.93;77.88;17.14;67.93;61.6;77.88;77.88;77.88;11.3;77.88;85.77;67.93;77.88;67.93;67.93;67.93;77.88;77.88;16.35;10.9;9.05;77.88;10.9;67.93;67.93;55.43;67.93;13.8;55.43;77.88;4.9;77.88;16.35;67.93;67.93;17.14;9.3;77.88;10.31;67.93;17.14;96;49.36;77.88;10.75;55.43;77.88;77.88;67.93;77.88;17.66;67.93;67.93;77.88;67.93;67.93;67.93;15.1;67.93;12.5;67.93;13.6;55.43;67.93;77.88;77.88;16.35;11.12;13.8;67.93;55.43;67.93;77.88;77.88;67.93;67.93;105.01;67.93;55.43;67.93;77.88;67.93;55.43;67.93;11.3;67.93;77.88;77.88;13;10.3;13.8;55.43;17.14;9.3;17.14;17.14;67.93;77.88;67.93;17.14;77.88;85.77;67.93;67.93;67.93;67.93;77.88;67.93;16.35;77.88;67.93;96;61.6;67.93;77.88;77.88;67.93;77.88;77.88;67.93;10.31;16.35;67.93;67.93;67.93;67.93;55.43;67.93;67.93;96;67.93;67.93;77.88;10.3;61.6;88.64;5.77;67.93;67.93;67.93;77.88;16.5;16.4;78;77.88;55.43;67.93;77.88;77.88;17.38;67.93;12.9;13.8;77.88;17.14;77.88;77.88;85.77;77.88;67.93;55.43;77.88;85.77;77.88;77.88;67.93;77.88;67.93;105.01;55.43;67.93;17.14;67.93;67.93;67.93;77.88;17.14;77.88;53.8;67.93;77.88;67.93;67.93;85.77;67.93;67.93;67.93;96;67.93;55.43;77.88;77.88;77.88;77.88
7;12.12;66.01;89.74;81;81;17.14;17.14;89.74;81;81;11.2;81;81;17.14;17.14;81;81;10.31;89.74;17.14;81;89.74;89.74;81;81;81;81;81;81;81;89.74;17.14;81;66;89.74;89.74;89.74;12.9;89.74;85.77;81;89.74;81;81;81;85.77;89.74;16.35;11.9;9.4;89.74;11.5;81;81;66.01;81;14.2;66.01;89.74;4.9;89.74;16.35;81;81;17.14;9.75;89.74;13.58;81;17.14;96;51.88;89.74;10.75;66;89.74;89.74;81;89.74;17.66;81;81;89.74;81;81;81;16.7;81;13.3;81;14.01;66.01;81;89.74;89.74;16.35;12.69;14.2;81;66.01;81;89.74;89.74;81;81;114.22;81;66.01;81;84.2;81;66.01;81;11.5;81;89.74;89.74;13.4;10.31;14.2;66.01;17.14;9.75;17.14;17.14;81;89.74;81;17.14;89.74;85.77;81;81;81;81;89.74;81;16.35;89.74;81;96;66;81;89.74;89.74;81;89.74;89.74;81;10.31;16.35;81;81;81;81;66.01;81;81;96;81;81;89.74;10.7;66;94.53;6.2;81;81;81;89.74;16.9;16.9;84.2;89.74;66.01;81;89.74;89.74;18.6;81;13.3;14.2;89.74;17.14;89.74;89.74;85.77;89.74;81;66.01;89.74;85.77;89.74;89.74;81;85.77;81;114.22;66.01;81;17.14;81;81;81;89.74;17.14;89.74;56.9;81;84.2;81;81;85.77;81;81;81;96;81;66.01;89.74;89.74;89.74;89.74
8;12.12;76.6;96;85.77;85.77;17.14;17.14;96;81.71;94.07;11.2;94.07;85.77;17.14;17.14;85.77;85.77;11;96;17.14;94.07;96;96;94.07;85.77;85.77;85.77;81.71;85.77;94.07;96;17.14;85.77;70.4;96;101.6;96;12.9;96;85.77;81.71;96;85.77;85.77;85.77;85.77;96;16.35;11.9;9.4;101.6;11.5;85.77;85.77;76.6;85.77;14.2;76.6;96;4.9;96;16.35;94.07;94.07;17.14;9.75;96;13.61;85.77;17.14;96;54.38;96;10.75;70.4;96;96;85.77;96;17.66;85.77;85.77;96;94.07;85.77;85.77;16.7;85.77;13.3;85.77;14.01;76.6;85.77;96;96;16.35;12.69;14.2;85.77;76.6;85.77;96;96;94.07;94.07;123.42;85.77;76.6;85.77;90.4;94.07;76.6;94.07;11.5;85.77;96;96;13.4;10.9;14.2;76.6;17.14;9.75;17.14;17.14;94.07;96;94.07;17.14;96;85.77;94.07;94.07;94.07;85.77;96;85.77;16.35;96;94.07;96;70.4;85.77;96;96;85.77;96;96;85.77;10.8;16.35;94.07;85.77;94.07;94.07;76.6;85.77;85.77;96;94.07;85.77;96;10.7;70.4;96;6.61;94.07;85.77;94.07;96;16.9;16.9;90.4;96;76.6;85.77;96;96;18.6;85.77;13.3;14.2;96;17.14;96;101.6;85.77;96;85.77;76.6;96;85.77;96;96;85.77;85.77;94.07;123.42;76.6;94.07;17.14;85.77;94.07;85.77;96;17.14;101.6;60;85.77;90.4;94.07;85.77;85.77;85.77;85.77;94.07;96;94.07;76.6;96;96;96;96
9;12.12;78.47;96;85.77;85.77;17.14;17.14;96;81.71;96;11.2;96;85.77;17.14;17.14;85.77;85.77;11;96;17.14;96;96;96;96;85.77;85.77;85.77;81.71;85.77;96;96;17.14;85.77;74.8;96;113.45;96;12.9;96;85.77;81.71;96;85.77;85.77;85.77;85.77;96;16.35;11.9;9.4;113.45;11.5;85.77;85.77;87.18;85.77;14.2;87.18;96;4.9;96;16.35;96;96;17.14;9.75;96;13.61;85.77;17.14;96;56.89;96;10.75;74.8;96;96;85.77;96;17.66;85.77;85.77;96;96;85.77;85.77;16.7;85.77;13.3;85.77;14.01;87.18;85.77;96;96;16.35;12.69;14.2;85.77;87.18;85.77;96;96;107.14;96;132.61;85.77;87.18;85.77;96;96;87.18;96;11.5;85.77;96;96;13.4;10.9;14.2;87.18;17.14;9.75;17.14;17.14;96;96;96;17.14;96;85.77;96;96;96;85.77;96;85.77;16.35;96;96;96;74.8;85.77;96;96;85.77;96;96;85.77;10.8;16.35;96;85.77;107.14;96;87.18;85.77;85.77;96;96;85.77;96;10.7;74.8;96;7.03;96;85.77;96;96;16.9;16.9;96.6;96;87.18;85.77;96;96;18.6;85.77;13.3;14.2;96;17.14;96;113.45;85.77;96;85.77;87.18;96;85.77;96;96;85.77;85.77;96;132.61;87.18;96;17.14;85.77;96;85.77;96;17.14;113.45;63.1;85.77;96;96;85.77;85.77;85.77;85.77;107.14;96;96;87.18;96;96;96;96
10;12.41;94.69;122.22;117.96;117.96;19.72;19.72;123.89;115.63;117.96;12.2;117.96;117.96;19.72;19.72;117.96;117.96;11.8;123.89;19.72;117.96;123.89;123.89;117.96;117.96;117.96;115.63;115.63;117.96;117.96;123.89;19.72;115.63;79.2;123.89;122.22;123.89;12.9;123.89;138.81;115.63;123.89;117.8;115.63;115.63;123.89;123.89;18.59;12.9;10.9;123.89;12.05;117.96;115.63;94.69;115.63;17.9;94.69;123.89;5.35;123.89;18.59;117.96;117.96;19.72;10.75;123.89;16.69;117.96;19.72;141.82;57.96;123.89;11.52;79.2;122.22;122.22;117.96;115.63;19.8;115.63;117.96;123.89;117.96;115.63;115.63;17.2;115.63;14.4;117.96;14.94;94.69;117.8;122.22;123.89;18.59;13.5;16.3;117.96;94.69;117.8;123.89;123.89;117.96;117.96;141.82;117.8;94.69;117.96;102.8;117.96;94.69;117.96;12.9;117.8;123.89;123.89;14.1;11.3;15.8;94.69;19.72;10.75;19.72;19.72;117.96;123.89;117.96;19.72;123.89;138.81;117.96;117.8;117.96;117.96;123.89;117.96;18.59;123.89;117.96;141.82;79.2;117.96;123.89;123.89;117.96;123.89;123.89;115.63;12.2;18.59;117.96;117.96;117.96;117.96;94.69;115.63;115.63;141.82;117.96;117.96;122.22;11.1;79.2;115.63;8.69;117.96;115.63;117.96;123.89;17.9;17.9;102.8;123.89;94.69;117.96;123.89;123.89;19.3;115.63;14.9;15.9;123.89;19.72;123.89;123.89;138.81;123.89;115.63;94.69;123.89;138.81;122.22;123.89;115.63;123.89;117.96;141.82;94.69;117.96;19.72;117.96;117.96;115.63;123.89;19.72;123.89;66.2;115.63;102.8;117.96;115.63;138.81;117.96;117.96;117.96;141.82;117.96;94.69;123.89;122.22;123.89;123.89
