sku;name;images;video;stock_a;stock_a_days;stock_b;stock_b_days;stock_c;stock_c_days;pvd_old;pvd;pvd_dif;pvr_old;pvr;pvr_dif;category
S8107168;Smartphone Samsung 12 GB RAM 256 GB Black;https://cdnbigbuy.com/images/8806095414584_S8107168_P00.jpg;-;6;1;0;5;159;1;-;831.02;0.00%;-;874.76;0.00%;
S0456406;Smartphone Motorola G04 6,5\" 4 GB RAM 64 GB Blue Unisoc;https://cdnbigbuy.com/images/0840023258343_S0456406_P00.jpg;-;5;1;0;5;0;1;-;50.21;0.00%;-;55.18;0.00%;
S0456413;Smartphone Motorola Unisoc 4 GB RAM 64 GB Black;https://cdnbigbuy.com/images/0840023256363_S0456413_P00.jpg;-;1;1;0;5;0;1;-;50.21;0.00%;-;55.18;0.00%;
S8107676;Smartphone Samsung Galaxy S23 Ultra 6,8\" 8 GB RAM 256 GB Black;https://cdnbigbuy.com/images/8806094923414_S8107676_P00.jpg;-;0;1;0;5;2509;1;-;731.15;0.00%;-;769.63;0.00%;
S8107495;Smartphone Samsung 6,2\" 8 GB RAM 128 GB Grey;https://cdnbigbuy.com/images/S8107495_8806095299815_P00.jpg;-;2;1;0;5;6;1;-;509.99;0.00%;-;536.83;0.00%;
S7822115;Smartphone Samsung Galaxy A34 5G Violet 6,6\" Lilac 1 TB 256 GB Octa Core;https://cdnbigbuy.com/images/S7822115_8431775031708_P01.jpg;-;0;1;0;5;2;1;-;243.86;0.00%;-;262.22;0.00%;
S0235907;Mobile telephone for older adults Nokia 3310 2,4\" Blue 16 GB RAM;https://cdnbigbuy.com/images/6438409600660_S0235907_P01.jpg;-;2;1;0;5;45;1;-;49.65;0.00%;-;57.07;0.00%;
S8104764;Smartphone ZTE Blade L9 32 GB 1 GB RAM 5\" Grey;https://cdnbigbuy.com/images/6902176061769_S8104764_P01.jpg;-;1;1;0;5;0;1;-;32.22;0.00%;-;35.80;0.00%;
S9906381;Smartphone Samsung SM-A336BZKGEEE Octa Core 6 GB RAM 128 GB Black;https://cdnbigbuy.com/images/8806094268164_S9906381_P01.jpg;-;0;1;0;5;15;1;-;189.77;0.00%;-;204.05;0.00%;
S8103569;Smartphone Samsung A14 SM-A145R Green 6,6\" 4 GB RAM 128 GB;https://cdnbigbuy.com/images/8806094843514_I01.jpg;-;0;1;0;5;2391;1;-;109.90;0.00%;-;118.17;0.00%;
